Bl	G	R	H	S	V	L	A	B	Color
3	151	245	18	252	245	180	155	203	1
3	152	243	19	252	243	180	154	203	1
2	149	241	18	253	241	178	154	202	1
2	147	243	18	253	243	177	156	202	1
0	145	241	18	255	241	175	156	202	1
1	147	241	18	254	241	176	155	202	1
1	147	241	18	254	241	176	155	202	1
0	145	242	18	255	242	176	157	202	1
0	144	241	18	255	241	175	157	202	1
1	146	241	18	254	241	176	156	202	1
1	146	241	18	254	241	176	156	202	1
2	146	242	18	253	242	176	156	202	1
4	149	244	18	251	244	179	156	203	1
4	152	245	18	251	245	181	155	203	1
11	140	236	17	243	236	171	157	199	1
72	125	235	10	177	235	163	166	175	1
0	179	221	24	255	221	190	130	205	1
0	161	231	21	255	231	182	144	203	1
0	151	241	19	255	241	179	153	203	1
1	149	242	18	254	242	178	155	203	1
1	147	242	18	254	242	177	156	202	1
1	148	241	18	254	241	177	155	202	1
2	150	242	19	253	242	179	154	203	1
1	151	243	19	254	243	179	154	203	1
4	154	246	19	251	246	182	154	204	1
1	155	242	19	254	242	181	152	204	1
0	152	239	19	255	239	179	152	203	1
1	149	243	18	254	243	178	155	203	1
1	148	243	18	254	243	178	156	202	1
2	150	242	19	253	242	179	154	203	1
1	149	242	18	254	242	178	155	203	1
0	147	242	18	255	242	177	156	203	1
0	145	240	18	255	240	175	156	202	1
0	145	240	18	255	240	175	156	202	1
0	145	240	18	255	240	175	156	202	1
2	147	242	18	253	242	177	156	202	1
3	149	244	18	252	244	179	156	203	1
2	152	244	19	253	244	180	154	203	1
17	141	237	17	237	237	172	157	199	1
69	125	235	10	180	235	163	166	176	1
0	181	222	24	255	222	192	129	205	1
0	160	235	20	255	235	182	146	203	1
0	154	243	19	255	243	181	153	204	1
2	153	244	19	253	244	181	154	203	1
2	152	244	19	253	244	180	154	203	1
2	153	243	19	253	243	181	153	203	1
2	154	243	19	253	243	181	153	203	1
1	155	243	19	254	243	182	152	204	1
3	157	245	19	252	245	184	152	204	1
1	157	243	19	254	243	183	151	204	1
0	155	241	19	255	241	181	151	204	1
1	151	243	19	254	243	179	154	203	1
2	152	244	19	253	244	180	154	203	1
2	153	242	19	253	242	180	153	203	1
1	151	241	19	254	241	179	153	203	1
0	150	240	19	255	240	178	153	203	1
0	149	240	19	255	240	177	154	202	1
0	149	240	19	255	240	177	154	202	1
0	149	240	19	255	240	177	154	202	1
1	150	242	19	254	242	179	154	203	1
1	152	243	19	254	243	180	154	203	1
1	155	243	19	254	243	182	152	204	1
20	145	238	17	234	238	174	156	199	1
63	131	235	12	187	235	166	163	181	1
20	129	205	18	230	205	155	150	191	1
5	140	240	17	250	240	172	159	201	1
4	146	237	18	251	237	175	154	201	1
0	148	232	19	255	232	174	151	201	1
0	151	235	19	255	235	177	151	202	1
0	149	234	19	255	234	175	152	202	1
0	143	235	18	255	235	172	155	201	1
